Statistic,University League Table 2017
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score
1,Cambridge,600,4.17,3.33,0.95,89.0,11.0,2628,800,91.0,98.6,1000
2,Oxford,574,4.17,3.34,0.87,86.7,10.5,2700,509,92.4,97.7,998
3,London School of Economics,518,3.89,3.35,0.85,78.5,11.6,2105,553,86.6,97.6,940
4,Imperial College London,567,4.15,3.36,0.92,90.8,11.1,2309,722,86.5,96.4,938
5,St Andrews,520,4.23,3.13,0.82,83.2,11.6,2015,496,90.7,95.5,927
6,Durham,524,4.14,3.14,0.79,83.6,14.7,1542,1048,89.4,95.6,916
7,Loughborough,410,4.26,2.95,0.88,83.6,14.6,1507,1060,81.7,94.9,897
8,Warwick,485,4.09,3.22,0.83,79.5,12.5,1826,694,82.7,94.9,889
9,Lancaster,423,4.17,3.15,0.77,82.6,13.4,1821,892,76.8,92.9,885
10,University College London,505,3.95,3.22,0.91,82.9,10.2,2212,247,89.0,95.6,880
11,Surrey,431,4.31,2.98,0.73,78.7,13.9,1805,737,80.7,91.6,870
11,Bath,478,4.18,3.17,0.74,85.1,15.5,1578,475,84.5,96.4,870
13,Exeter,466,4.18,3.08,0.82,79.6,15.8,1689,718,84.8,96.0,855
14,East Anglia (UEA),423,4.17,3.11,0.75,70.1,13.2,1551,1119,83.4,92.1,841
15,Birmingham,423,4.08,3.07,0.81,86.5,14.0,1883,543,86.1,94.8,832
16,Leeds,430,4.16,3.13,0.75,78.5,13.5,1970,504,83.3,93.6,827
17,Southampton,417,4.08,3.15,0.90,77.9,12.0,1694,504,80.1,91.8,821
18,Sussex,375,4.06,3.01,0.73,84.2,15.3,1719,892,79.1,91.1,817
19,Edinburgh,485,3.93,3.18,0.83,78.6,12.0,1436,567,84.5,91.2,808
20,York,430,4.14,3.17,0.75,75.7,14.5,1441,664,80.5,93.3,807
21,King's College London,462,3.91,3.23,0.80,85.7,11.7,1499,597,83.4,94.0,799
21,Nottingham,424,4.06,3.09,0.79,81.2,13.2,1594,610,80.5,93.7,799
23,Kent,358,4.12,2.95,0.85,76.6,12.7,1060,543,80.1,91.6,796
24,Bristol,476,3.96,3.18,0.91,79.5,13.8,1453,462,87.9,95.1,791
25,Manchester,433,4.05,3.16,0.78,78.4,13.4,1513,591,76.2,93.0,773
25,Newcastle,430,4.14,3.09,0.80,79.3,15.5,1352,459,81.3,94.9,773
27,Reading,371,4.09,3.03,0.83,70.2,14.7,1493,466,80.6,92.2,764
27,Sheffield,415,4.14,3.17,0.74,75.5,14.6,1540,506,79.5,94.4,764
29,Glasgow,467,4.12,3.10,0.84,79.5,14.5,1702,509,79.3,88.4,762
30,Aston,353,4.17,3.05,0.57,78.8,19.0,1416,601,86.2,93.7,761
31,"Queen Mary, University of London",404,4.12,3.18,0.74,73.0,11.9,1548,816,74.3,90.4,756
32,Leicester,390,4.03,2.93,0.78,72.1,12.9,1807,837,77.2,91.8,755
33,"Queen's, Belfast",385,4.13,2.99,0.95,78.4,15.1,1266,748,78.3,92.6,754
34,Heriot-Watt,406,4.12,3.06,0.82,77.9,15.6,1352,901,75.5,84.5,751
35,Cardiff,399,4.09,3.27,0.62,79.8,13.7,1245,535,76.0,92.6,747
35,Dundee,426,4.19,3.03,0.68,79.9,12.6,1309,386,77.8,86.4,747
37,"Royal Holloway, University of London",402,4.15,3.09,0.77,62.4,15.3,1171,595,75.6,93.7,743
38,Liverpool,383,4.01,3.06,0.70,75.8,11.8,1685,472,75.8,91.8,742
39,Stirling,374,3.99,2.96,0.74,72.8,14.9,1011,667,83.7,86.5,730
40,"City, University of London",371,4.20,2.95,0.53,78.0,16.6,1790,556,71.8,85.5,727
41,Essex,297,4.22,3.05,0.82,63.7,16.5,1578,1086,74.3,88.3,726
42,Aberdeen,441,4.00,2.97,0.73,76.0,13.5,1552,672,77.9,84.3,718
43,SOAS University of London,397,3.98,2.82,0.76,68.1,11.1,1883,272,79.9,84.2,714
44,"St George's, University of London",429,4.00,2.99,0.52,93.4,12.8,3326,129,74.4,94.8,713
45,Swansea,311,4.13,3.09,0.71,81.1,14.7,1387,493,76.1,90.0,702
46,Keele,350,4.28,2.88,0.59,75.6,13.2,1048,537,67.2,89.1,691
46,Harper Adams,338,4.11,2.66,0.23,73.7,15.4,1418,1098,63.2,88.7,691
48,Strathclyde,470,4.01,3.04,0.84,71.7,19.4,1453,310,77.8,87.2,688
49,Lincoln,339,4.09,2.54,0.39,70.5,15.7,1161,556,67.7,89.3,683
50,Coventry,316,4.28,2.67,0.13,73.8,14.6,1273,535,70.1,84.3,679
51,"Goldsmiths, University of London",353,3.98,2.90,0.85,55.5,13.8,1198,441,80.6,83.9,677
52,Brunel University London,349,4.06,2.67,0.85,63.0,15.7,1452,542,72.2,87.4,672
53,Bradford,321,4.08,2.95,0.23,75.0,16.0,1298,691,75.4,84.1,656
54,De Montfort,292,4.14,2.67,0.30,76.8,18.6,1389,654,70.1,86.5,648
55,Buckingham,311,4.36,,,83.3,9.6,1204,832,54.7,85.0,641
56,Bournemouth,321,3.90,2.72,0.29,65.8,17.3,1241,628,77.9,85.5,638
57,Manchester Metropolitan,349,4.10,2.74,0.24,63.2,15.6,1198,461,70.4,83.5,637
58,Falmouth,310,4.14,2.04,0.33,73.5,18.9,1174,364,74.8,88.6,634
59,Northumbria,361,4.11,2.71,0.29,66.0,17.1,1067,474,69.7,87.5,633
59,University for the Creative Arts,316,4.08,2.72,0.10,51.7,12.1,2202,268,63.4,84.9,633
61,Portsmouth,321,4.14,2.75,0.27,66.8,15.4,1445,372,71.2,85.8,631
62,Bangor,342,4.26,2.99,0.63,67.2,16.9,1034,442,64.2,82.3,629
63,Nottingham Trent,305,4.15,2.59,0.23,66.3,16.7,1053,729,71.4,85.8,627
64,Robert Gordon,385,4.09,2.35,0.21,82.8,18.4,1069,297,70.5,83.0,625
65,Oxford Brookes,335,4.15,2.66,0.39,68.6,18.3,927,411,74.9,90.1,624
66,Norwich University of the Arts,343,4.15,2.69,0.18,63.1,17.8,1099,132,67.9,88.5,621
67,"West of England, Bristol",323,4.03,2.70,0.29,70.4,18.5,1263,806,73.3,83.0,614
68,Hull,335,4.05,2.70,0.56,66.5,16.2,1400,551,70.4,84.0,606
69,Roehampton,275,4.02,2.83,0.67,60.0,14.9,1814,560,70.3,78.7,604
70,Ulster,307,4.18,2.91,0.84,62.3,17.1,1195,531,65.9,81.1,600
71,Edge Hill,327,4.16,2.22,0.27,63.1,14.8,1378,524,69.8,84.7,599
72,Cardiff Metropolitan,315,4.03,3.00,0.09,59.0,17.9,1246,711,67.5,82.3,598
72,Sheffield Hallam,304,4.03,2.76,0.16,64.7,16.5,1587,457,66.0,86.4,598
74,Liverpool John Moores,342,4.12,2.79,0.26,63.0,18.1,1087,287,73.0,84.4,596
74,Winchester,293,4.17,2.32,0.30,60.5,16.7,901,323,77.3,88.7,596
76,Bath Spa,321,4.20,2.52,0.30,54.5,18.5,1231,262,72.8,87.1,586
76,Arts University Bournemouth,322,4.07,2.30,0.13,61.4,14.9,788,235,62.2,91.6,586
78,Middlesex,297,4.02,2.58,0.35,64.7,16.3,2692,605,62.2,74.7,580
79,Hertfordshire,302,4.01,2.61,0.21,74.7,17.5,1168,925,65.0,82.1,577
80,Chichester,298,4.17,2.50,0.25,56.9,16.0,823,430,69.0,89.1,575
81,Huddersfield,331,4.13,2.65,0.32,73.6,20.6,1254,425,65.1,81.8,572
82,Glasgow Caledonian,385,3.98,2.67,0.24,70.1,21.1,1256,292,73.0,83.3,568
83,Liverpool Hope,307,4.28,2.21,0.53,53.4,16.2,872,1116,66.2,79.6,567
84,Plymouth,314,4.08,2.74,0.50,60.1,16.4,1085,425,69.9,84.9,566
85,"University of the Arts, London",314,3.92,3.12,0.17,59.0,17.0,1392,215,62.7,83.7,561
86,Abertay,338,4.04,2.16,0.36,65.6,19.3,1045,767,70.9,77.2,557
87,Aberystwyth,289,4.01,2.84,0.76,62.3,19.1,1106,548,66.9,88.6,555
87,Northampton,280,4.14,2.09,0.25,59.4,18.6,1344,1031,66.3,85.8,555
89,Gloucestershire,319,4.06,2.38,0.18,55.2,18.3,1340,454,69.0,86.5,551
90,Brighton,301,4.00,2.84,0.21,66.6,17.4,912,431,66.9,84.0,550
91,Derby,302,4.16,2.07,0.19,59.1,14.8,1277,417,66.1,81.8,546
92,Edinburgh Napier,337,4.05,2.52,0.19,68.6,20.1,887,327,73.9,82.4,544
93,Queen Margaret,350,4.02,2.65,0.22,58.2,18.3,1015,347,73.2,79.7,540
94,Chester,303,4.12,2.08,0.29,63.1,14.0,1382,485,63.8,80.4,539
95,Salford,316,4.05,2.54,0.33,59.2,16.7,1193,448,71.3,79.9,535
95,Birmingham City,316,3.96,2.64,0.14,64.3,19.1,1147,557,65.2,86.5,535
97,Worcester,300,4.09,2.08,0.30,63.1,17.3,710,517,65.8,85.7,526
98,Greenwich,337,4.08,2.33,0.25,58.1,18.6,1186,525,65.0,83.3,525
99,South Wales,321,3.97,2.51,0.16,58.4,17.4,1114,523,64.9,82.3,515
99,Central Lancashire,317,4.06,2.51,0.24,62.3,16.8,1565,495,62.0,78.1,515
101,Staffordshire,274,4.11,2.20,0.33,57.7,15.7,1462,313,67.3,77.3,506
102,Westminster,315,3.96,2.74,0.29,54.9,19.8,1256,298,68.6,81.5,503
103,Leeds Trinity,284,4.11,2.01,0.17,65.8,21.6,1116,379,74.7,85.0,502
103,Royal Agricultural University,301,4.01,1.40,0.26,69.7,20.8,1888,863,62.2,93.7,502
103,Sunderland,289,4.10,2.12,0.39,62.2,16.3,1122,571,54.6,80.3,502
106,West London,301,3.99,1.92,0.13,60.0,15.6,1399,1115,61.3,74.9,498
107,York St John,300,4.11,2.04,0.29,64.8,18.5,913,428,59.2,87.0,490
107,Teesside,305,4.13,2.58,0.14,59.2,17.4,1335,481,57.5,80.5,490
109,Kingston,288,3.97,2.70,0.16,60.6,19.3,1287,496,64.3,81.3,485
110,Anglia Ruskin,254,4.14,2.37,0.27,64.7,17.3,1204,474,64.8,80.7,483
110,West of Scotland,316,4.08,2.36,0.22,65.1,19.8,1033,329,65.5,79.0,483
112,Canterbury Christ Church,270,4.02,2.38,0.23,57.6,16.0,1001,377,66.8,80.8,475
113,Buckinghamshire New,256,4.07,2.19,0.09,57.1,17.6,726,1342,55.3,79.7,460
114,Leeds Beckett,288,3.98,2.16,0.24,58.3,20.7,932,499,65.3,78.7,446
115,Southampton Solent,275,4.02,1.63,0.07,54.1,16.9,1051,621,67.7,78.5,443
115,London South Bank,254,3.99,2.52,0.41,67.4,17.2,1450,437,60.4,73.1,443
117,Newman,298,4.15,2.13,0.20,52.6,16.9,1207,377,59.1,79.4,442
118,"St Mary's, Twickenham",291,4.13,1.98,0.23,66.6,20.2,757,358,59.4,81.3,440
119,Bishop Grosseteste,284,4.07,1.96,0.17,67.8,25.1,421,419,67.9,90.0,438
120,Bedfordshire,234,4.08,2.52,0.27,57.9,17.4,1461,599,50.4,76.3,423
121,Cumbria,286,3.93,2.13,0.08,64.5,19.7,862,402,61.6,84.3,422
122,Bolton,283,4.10,2.04,0.20,59.9,15.9,735,380,55.0,71.1,406
123,University of Wales Trinity Saint David,284,3.99,2.39,0.12,50.2,17.4,1126,661,51.2,79.7,397
124,Plymouth Marjon,288,3.92,,,60.5,21.5,706,1128,60.6,82.1,379
125,Wrexham Glyndŵr,236,4.10,2.15,0.16,66.1,22.1,1447,412,55.6,74.3,378
126,East London,277,3.93,2.71,0.23,45.2,20.0,1219,731,59.1,73.4,376
127,London Metropolitan,247,4.00,2.44,0.15,47.0,17.4,736,571,52.6,71.0,322
